route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
18,2,180023,Kilbride - Goulds,,0,28565,14228,0,0
18,2,180022,Kilbride - Goulds,,0,28565,14228,0,0
18,2,180021,Kilbride - Goulds,,0,28565,14228,0,0
18,2,180020,Kilbride - Goulds,,0,28565,14228,0,0
18,2,180019,Kilbride - Goulds,,0,28565,14228,0,0
18,2,180042,Kilbride - Village Mall,,1,28565,14231,0,0
18,2,180041,Kilbride - Village Mall,,1,28565,14230,0,0
18,2,180040,Kilbride - Village Mall,,1,28565,14230,0,0
18,2,180039,Kilbride - Village Mall,,1,28565,14230,0,0
18,2,180038,Kilbride - Village Mall,,1,28565,14230,0,0
18,2,180037,Kilbride - Village Mall,,1,28565,14230,0,0
18,2,180036,Kilbride - Village Mall,,1,28565,14230,0,0
18,2,180035,Kilbride - Village Mall,,1,28565,14230,0,0
18,2,180034,Kilbride - Village Mall,,1,28565,14230,0,0
18,2,180033,Kilbride - Village Mall,,1,28565,14230,0,0
18,2,180032,Kilbride - Village Mall,,1,28565,14230,0,0
18,2,180031,Kilbride - Village Mall,,1,28565,14230,0,0
19,2,180153,Cowan Hgts - Crosbie Rd - Avalon Mall,,0,28570,14233,0,0
19,2,180152,Cowan Hgts - Crosbie Rd - Avalon Mall,,0,28570,14234,0,0
19,2,180151,Cowan Hgts - Crosbie Rd - Avalon Mall,,0,28570,14234,0,0
19,2,180150,Cowan Hgts - Crosbie Rd - Avalon Mall,,0,28570,14234,0,0
19,2,180149,Cowan Hgts - Crosbie Rd - Avalon Mall,,0,28570,14234,0,0
19,2,180148,Cowan Hgts - Crosbie Rd - Avalon Mall,,0,28570,14234,0,0
19,2,180147,Cowan Hgts - Crosbie Rd - Avalon Mall,,0,28570,14234,0,0
19,2,180146,Cowan Hgts - Crosbie Rd - Avalon Mall,,0,28570,14234,0,0
19,2,180145,Cowan Hgts - Crosbie Rd - Avalon Mall,,0,28570,14234,0,0
19,2,180144,Cowan Hgts - Crosbie Rd - Avalon Mall,,0,28570,14234,0,0
19,2,180143,Cowan Hgts - Crosbie Rd - Avalon Mall,,0,28570,14234,0,0
19,2,180142,Cowan Hgts - Crosbie Rd - Avalon Mall,,0,28570,14234,0,0
19,2,180165,Crosbie Rd - Cowan Hgts - Village Mall,,1,28570,14236,0,0
19,2,180164,Crosbie Rd - Cowan Hgts - Village Mall,,1,28570,14235,0,0
19,2,180163,Crosbie Rd - Cowan Hgts - Village Mall,,1,28570,14235,0,0
19,2,180162,Crosbie Rd - Cowan Hgts - Village Mall,,1,28570,14235,0,0
19,2,180161,Crosbie Rd - Cowan Hgts - Village Mall,,1,28570,14235,0,0
19,2,180160,Crosbie Rd - Cowan Hgts - Village Mall,,1,28570,14235,0,0
19,2,180159,Crosbie Rd - Cowan Hgts - Village Mall,,1,28570,14235,0,0
19,2,180158,Crosbie Rd - Cowan Hgts - Village Mall,,1,28570,14235,0,0
19,2,180157,Crosbie Rd - Cowan Hgts - Village Mall,,1,28570,14235,0,0
19,2,180156,Crosbie Rd - Cowan Hgts - Village Mall,,1,28570,14235,0,0
19,2,180155,Crosbie Rd - Cowan Hgts - Village Mall,,1,28570,14235,0,0
19,2,180154,Crosbie Rd - Cowan Hgts - Village Mall,,1,28570,14235,0,0
21,2,180236,Mount Pearl Sq - Commonwealth Ave,,0,28574,14240,0,0
21,2,180235,Mount Pearl Sq - Commonwealth Ave,,0,28574,14240,0,0
21,2,180234,Mount Pearl Sq - Commonwealth Ave,,0,28574,14240,0,0
21,2,180233,Mount Pearl Sq - Commonwealth Ave,,0,28574,14240,0,0
21,2,180232,Mount Pearl Sq - Commonwealth Ave,,0,28574,14240,0,0
21,2,180231,Mount Pearl Sq - Commonwealth Ave,,0,28574,14240,0,0
21,2,180230,Mount Pearl Sq - Commonwealth Ave,,0,28574,14240,0,0
21,2,180229,Mount Pearl Sq - Commonwealth Ave,,0,28574,14240,0,0
21,2,180244,Mount Pearl Sq - Village Mall,,1,28574,14243,0,0
21,2,180243,Mount Pearl Sq - Village Mall,,1,28574,14243,0,0
21,2,180242,Mount Pearl Sq - Village Mall,,1,28574,14243,0,0
21,2,180241,Mount Pearl Sq - Village Mall,,1,28574,14243,0,0
21,2,180240,Mount Pearl Sq - Village Mall,,1,28574,14243,0,0
21,2,180239,Mount Pearl Sq - Village Mall,,1,28574,14243,0,0
21,2,180238,Mount Pearl Sq - Village Mall,,1,28574,14243,0,0
21,2,180237,Mount Pearl Sq - Village Mall,,1,28574,14243,0,0
23,2,180292,Stavanger Dr,,0,28578,14249,0,0
23,2,180291,Stavanger Dr,,0,28578,14249,0,0
23,2,180290,Stavanger Dr,,0,28578,14249,0,0
23,2,180289,Stavanger Dr,,0,28578,14249,0,0
23,2,180288,Stavanger Dr,,0,28578,14249,0,0
23,2,180287,Stavanger Dr,,0,28578,14249,0,0
23,2,180286,Stavanger Dr,,0,28578,14249,0,0
23,2,180285,Stavanger Dr,,0,28578,14249,0,0
23,2,180300,Avalon Mall,,1,28578,14250,0,0
23,2,180299,Avalon Mall,,1,28578,14250,0,0
23,2,180298,Avalon Mall,,1,28578,14250,0,0
23,2,180297,Avalon Mall,,1,28578,14250,0,0
23,2,180296,Avalon Mall,,1,28578,14250,0,0
23,2,180295,Avalon Mall,,1,28578,14250,0,0
23,2,180294,Avalon Mall,,1,28578,14250,0,0
23,2,180293,Avalon Mall,,1,28578,14250,0,0
6,2,180839,To Seasame Park,,0,28595,14293,0,0
6,2,180840,To Seasame Park,,0,28595,14293,0,0
6,2,180841,To Seasame Park,,0,28595,14293,0,0
6,2,180842,To Seasame Park,,0,28595,14293,0,0
6,2,180843,To Seasame Park,,0,28595,14293,0,0
6,2,180844,To Seasame Park,,0,28595,14293,0,0
